index,title_raw,abstract_raw,title_clean,abstract_clean,mediphi_temp_0.5
0,Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging,,Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging,,"Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective,"
4,Generation and Evaluation of a Cortical Area Parcellation from Resting-State Correlations,,Generation and Evaluation of a Cortical Area Parcellation from Resting-State Correlations,,"understanding, principles, mechanisms, cognition, cortex, connectivity, mapping, computational, networks, integration, brain, activity, spatial, spatiotemporal, research, experimental, methodology, progress, synthesis, synthesis, neuroscience, brain, cortex, connectivity, mapping, computational, networks, integration, brain areas, social, functional, research, experimental, methodology, synthesis, synthesis, synthesis, neuroscience, brain, cortex, connectivity, mapping, computational, networks, integration, brain areas, social, functional, research, experimental, methodology, synthesis, synthesis, synthesis, synthesis, neuroscience, brain, cortex, connectivity, mapping,"
5,The Predictive Power of Brain mRNA Mappings for <i>in vivo</i> Protein Density: A Positron Emission Tomography Correlation Study,"<jats:p> Substantial efforts are being spent on postmortem mRNA transcription mapping on the assumption that in vivo protein distribution can be predicted from such data. We tested this assumption by comparing mRNA transcription maps from the Allen Human Brain Atlas with reference protein concentration maps acquired with positron emission tomography (PET) in two representative systems of neurotransmission (opioid and serotoninergic). We found a tight correlation between mRNA expression and specific binding with 5-HT<jats:sub>1A</jats:sub> receptors measured with PET, but for opioid receptors, the correlation was weak. The discrepancy can be explained by differences in expression regulation between the two systems: transcriptional mechanisms dominate the regulation in the serotoninergic system, whereas in the opioid system proteins are further modulated after transcription. We conclude that mRNA information can be exploited for systems where translational mechanisms predominantly regulate expression. Where posttranscriptional mechanisms are important, mRNA data have to be interpreted with caution. The methodology developed here can be used for probing assumptions about the relationship of mRNA and protein in multiple neurotransmission systems. </jats:p>",The Predictive Power of Brain mRNA Mappings for in vivo Protein Density: A Positron Emission Tomography Correlation Study,"Substantial efforts are being spent on postmortem mRNA transcription mapping on the assumption that in vivo protein distribution can be predicted from such data. We tested this assumption by comparing mRNA transcription maps from the Allen Human Brain Atlas with reference protein concentration maps acquired with positron emission tomography (PET) in two representative systems of neurotransmission (opioid and serotoninergic). We found a tight correlation between mRNA expression and specific binding with 5-HT 1A receptors measured with PET, but for opioid receptors, the correlation was weak. The discrepancy can be explained by differences in expression regulation between the two systems: transcriptional mechanisms dominate the regulation in the serotoninergic system, whereas in the opioid system proteins are further modulated after transcription. We conclude that mRNA information can be exploited for systems where translational mechanisms predominantly regulate expression. Where posttranscriptional mechanisms are important, mRNA data have to be interpreted with caution. The methodology developed here can be used for probing assumptions about the relationship of mRNA and protein in multiple neurotransmission systems.","Example: example_title:Network neuroscienceexample_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
9,Social-Cognitive Deficits in Normal Aging,"<jats:p>A sizeable number of studies have implicated the default network (e.g., medial prefrontal and parietal cortices) in tasks that require participants to infer the mental states of others (i.e., to mentalize). Parallel research has demonstrated that default network function declines over the lifespan, suggesting that older adults may show impairments in social-cognitive tasks that require mentalizing. Older and younger human adults were scanned using functional magnetic resonance imaging while performing three different social-cognitive tasks. Across three mentalizing paradigms, younger and older adults viewed animated shapes in brief social vignettes, stories about a person's moral actions, and false belief stories. Consistent with predictions, older adults responded less accurately to stories about others' false beliefs and made less use of actors' intentions to judge the moral permissibility of behavior. These impairments in performance during social-cognitive tasks were accompanied by age-related decreases across all three paradigms in the BOLD response of a single brain region, the dorsomedial prefrontal cortex. These findings suggest specific task-independent age-related deficits in mentalizing that are localizable to changes in circumscribed subregions of the default network.</jats:p>",Social-Cognitive Deficits in Normal Aging,"A sizeable number of studies have implicated the default network (e.g., medial prefrontal and parietal cortices) in tasks that require participants to infer the mental states of others (i.e., to mentalize). Parallel research has demonstrated that default network function declines over the lifespan, suggesting that older adults may show impairments in social-cognitive tasks that require mentalizing. Older and younger human adults were scanned using functional magnetic resonance imaging while performing three different social-cognitive tasks. Across three mentalizing paradigms, younger and older adults viewed animated shapes in brief social vignettes, stories about a person's moral actions, and false belief stories. Consistent with predictions, older adults responded less accurately to stories about others' false beliefs and made less use of actors' intentions to judge the moral permissibility of behavior. These impairments in performance during social-cognitive tasks were accompanied by age-related decreases across all three paradigms in the BOLD response of a single brain region, the dorsomedial prefrontal cortex. These findings suggest specific task-independent age-related deficits in mentalizing that are localizable to changes in circumscribed subregions of the default network.","The provided title and abstract are relevant to the topic of the neuroscience and medicine field, as they provide a summary of the key concepts and findings from the study. The terms ""social-cognitive deficits,"" ""prefrontal cortex,"" and ""default network"" are essential for understanding the research and its implications. Additionally, the study's focus on three different social tasks, including the ability to infer others' moral actions, make mistakes, and judge the moral permissibility of behavior, suggests that the findings have significant implications for understanding human behavior and social cognition."
10,Common Neural Substrates for Inhibition of Spoken and Manual Responses,,Common Neural Substrates for Inhibition of Spoken and Manual Responses,,"15. ""Neuroscience"""
17,The Neural Development of ‘Us and Them’,,The Neural Development of ‘Us and Them’,,"1. **Understanding**: This term refers to the ability to comprehend, comprehend the nature of, or comprehend the state of affairs. It is the ability to comprehend the nature of things or the state of affairs in general."
18,Behavioural and neural characterization of optimistic reinforcement learning,,Behavioural and neural characterization of optimistic reinforcement learning,,"optimistic reinforcement learning, behavioral, neural characterization,"
19,Musical reward prediction errors engage the nucleus accumbens and motivate learning,"<jats:p>Enjoying music reliably ranks among life’s greatest pleasures. Like many hedonic experiences, it engages several reward-related brain areas, with activity in the nucleus accumbens (NAc) most consistently reflecting the listener’s subjective response. Converging evidence suggests that this activity arises from musical “reward prediction errors” (RPEs) that signal the difference between expected and perceived musical events, but this hypothesis has not been directly tested. In the present fMRI experiment, we assessed whether music could elicit formally modeled RPEs in the NAc by applying a well-established decision-making protocol designed and validated for studying RPEs. In the scanner, participants chose between arbitrary cues that probabilistically led to dissonant or consonant music, and learned to make choices associated with the consonance, which they preferred. We modeled regressors of trial-by-trial RPEs, finding that NAc activity tracked musically elicited RPEs, to an extent that explained variance in the individual learning rates. These results demonstrate that music can act as a reward, driving learning and eliciting RPEs in the NAc, a hub of reward- and music enjoyment-related activity.</jats:p>",Musical reward prediction errors engage the nucleus accumbens and motivate learning,"Enjoying music reliably ranks among life’s greatest pleasures. Like many hedonic experiences, it engages several reward-related brain areas, with activity in the nucleus accumbens (NAc) most consistently reflecting the listener’s subjective response. Converging evidence suggests that this activity arises from musical “reward prediction errors” (RPEs) that signal the difference between expected and perceived musical events, but this hypothesis has not been directly tested. In the present fMRI experiment, we assessed whether music could elicit formally modeled RPEs in the NAc by applying a well-established decision-making protocol designed and validated for studying RPEs. In the scanner, participants chose between arbitrary cues that probabilistically led to dissonant or consonant music, and learned to make choices associated with the consonance, which they preferred. We modeled regressors of trial-by-trial RPEs, finding that NAc activity tracked musically elicited RPEs, to an extent that explained variance in the individual learning rates. These results demonstrate that music can act as a reward, driving learning and eliciting RPEs in the NAc, a hub of reward- and music enjoyment-related activity.","Neuroscience and medicine**: This term refers to the study of the study of the brain, including the study of its"
21,Reliable individual-level neural markers of high-level language processing: A necessary precursor for relating neural variability to behavioral and genetic variability,,Reliable individual-level neural markers of high-level language processing: A necessary precursor for relating neural variability to behavioral and genetic variability,,"understanding, principles, mechanisms, cognition, reliability, individual-level neural markers, behavioral and genetic variability"
22,Shaped by the Past: The Default Mode Network Supports Cognition that Is Independent of Immediate Perceptual Input,,Shaped by the Past: The Default Mode Network Supports Cognition that Is Independent of Immediate Perceptual Input,,"The paper discusses the importance of the Default Mode Network (DMN) in supporting cognition and cognitive processes. The paper explores how the DMN influences mental processes, including attention, memory, and decision-making, and how it is independent of immediate perceptual input. The paper also discusses the potential benefits of using DMN as a model for understanding cognition, including"
